Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,Unemployment Rate,2011-07-31T00:00:00,3.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-08-31T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2011-09-30T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2011-10-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-11-30T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-12-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-01-31T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-02-29T00:00:00,3.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-03-31T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2012-04-30T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-05-31T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-06-30T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2012-07-31T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-08-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-09-30T00:00:00,3.4,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2012-10-31T00:00:00,3.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-11-30T00:00:00,3.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2012-12-31T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-01-31T00:00:00,3.5,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2013-02-28T00:00:00,3.5,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2013-03-31T00:00:00,3.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-04-30T00:00:00,3.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-05-31T00:00:00,3.5,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2013-06-30T00:00:00,3.4,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2013-07-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-08-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-09-30T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-10-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-11-30T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2013-12-31T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2014-01-31T00:00:00,3.2,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2014-02-28T00:00:00,3.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2014-03-31T00:00:00,3.2,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2014-04-30T00:00:00,3.2,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2014-05-31T00:00:00,3.2,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2014-06-30T00:00:00,3.2,Monthly,HKUERATE,2014-08-01T20:27:00
Hong Kong,Unemployment Rate,2014-07-31T00:00:00,3.3,Monthly,HKUERATE,2014-08-18T09:30:00
Hong Kong,Unemployment Rate,2014-08-31T00:00:00,3.3,Monthly,HKUERATE,2014-09-18T10:16:00
Hong Kong,Unemployment Rate,2014-09-30T00:00:00,3.3,Monthly,HKUERATE,2014-10-20T09:33:00
Hong Kong,Unemployment Rate,2014-10-31T00:00:00,3.3,Monthly,HKUERATE,2014-11-17T08:31:00
Hong Kong,Unemployment Rate,2014-11-30T00:00:00,3.3,Monthly,HKUERATE,2015-01-19T08:37:00
Hong Kong,Unemployment Rate,2014-12-31T00:00:00,3.3,Monthly,HKUERATE,2015-01-19T08:37:00
Hong Kong,Unemployment Rate,2015-01-31T00:00:00,3.3,Monthly,HKUERATE,2015-02-17T08:36:00
Hong Kong,Unemployment Rate,2015-02-28T00:00:00,3.3,Monthly,HKUERATE,2015-03-20T19:12:00
Hong Kong,Unemployment Rate,2015-03-31T00:00:00,3.3,Monthly,HKUERATE,2015-04-23T09:33:00
Hong Kong,Unemployment Rate,2015-04-30T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2015-05-31T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2015-06-30T00:00:00,3.3,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2015-07-31T00:00:00,3.3,Monthly,HKUERATE,2015-08-18T09:31:00
Hong Kong,Unemployment Rate,2015-08-31T00:00:00,3.3,Monthly,HKUERATE,2015-09-17T09:31:00
Hong Kong,Unemployment Rate,2015-09-30T00:00:00,3.3,Monthly,HKUERATE,2015-10-19T09:32:00
Hong Kong,Unemployment Rate,2015-10-31T00:00:00,3.3,Monthly,HKUERATE,2015-11-17T08:31:00
Hong Kong,Unemployment Rate,2015-11-30T00:00:00,3.3,Monthly,HKUERATE,2015-12-17T08:33:00
Hong Kong,Unemployment Rate,2015-12-31T00:00:00,3.3,Monthly,HKUERATE,2016-01-19T08:32:00
Hong Kong,Unemployment Rate,2016-01-31T00:00:00,3.4,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2016-02-29T00:00:00,3.4,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2016-03-31T00:00:00,3.4,Monthly,HKUERATE,2016-04-19T09:45:00
Hong Kong,Unemployment Rate,2016-04-30T00:00:00,3.4,Monthly,HKUERATE,2016-05-17T09:40:00
Hong Kong,Unemployment Rate,2016-05-31T00:00:00,3.4,Monthly,HKUERATE,2016-06-16T09:31:00
Hong Kong,Unemployment Rate,2016-06-30T00:00:00,3.4,Monthly,HKUERATE,2016-07-19T09:31:00
Hong Kong,Unemployment Rate,2016-07-31T00:00:00,3.4,Monthly,HKUERATE,2016-08-18T09:30:00
Hong Kong,Unemployment Rate,2016-08-31T00:00:00,3.4,Monthly,HKUERATE,2016-09-19T08:30:00
Hong Kong,Unemployment Rate,2016-09-30T00:00:00,3.4,Monthly,HKUERATE,2016-10-18T08:31:00
Hong Kong,Unemployment Rate,2016-10-31T00:00:00,3.4,Monthly,HKUERATE,2016-11-17T08:31:00
Hong Kong,Unemployment Rate,2016-11-30T00:00:00,3.4,Monthly,HKUERATE,2017-04-21T08:57:00
Hong Kong,Unemployment Rate,2016-12-31T00:00:00,3.3,Monthly,HKUERATE,2017-01-19T08:31:00
Hong Kong,Unemployment Rate,2017-01-31T00:00:00,3.3,Monthly,HKUERATE,2017-02-20T08:34:00
